game_pk,player_id,team_id,jersey,runs_scored,home_runs,total_bases,at_bats,plate_appearances
717182,547180,143,3,1,0,3,4,4
717182,541645,146,24,0,0,3,4,4
717182,592206,143,8,1,1,4,4,4
717182,624585,146,12,0,0,1,4,5
717182,607732,146,58,0,0,0,3,4
717182,621563,146,18,0,0,0,4,4
717182,542932,146,5,0,0,1,4,4
717182,595909,143,44,1,0,0,0,0
717182,656941,143,12,0,0,1,2,4
717182,607208,143,7,0,0,0,4,4
717182,650559,146,14,0,0,2,4,5
717182,650333,146,3,1,0,3,5,5
717182,660821,146,7,0,0,1,3,4
717182,596117,143,21,0,0,2,3,3
717182,641658,146,2,0,0,0,0,0
717182,493329,146,10,0,0,2,3,4
717182,669016,143,16,0,0,0,3,3
717182,679032,143,18,0,0,0,3,3
717182,664761,143,28,0,0,1,4,4
717182,681082,143,5,0,0,0,4,4
