game_pk,season,double_header,home_team_id,away_team_id,venue_id
717182,2023,false,146,143,4169
717183,2023,false,120,158,3309
717178,2023,false,134,116,31
717175,2023,false,147,139,3313
717177,2023,false,141,110,14
717176,2023,false,144,108,4705
717174,2023,false,138,142,2889
717173,2023,false,112,113,17
717168,2023,false,140,145,5325
717172,2023,false,117,114,2392
717170,2023,false,118,121,7
717169,2023,false,115,135,19
717167,2023,false,136,111,680
717180,2023,false,137,109,2395
717171,2023,false,119,133,22
